[leak-check] static variant texts: clean
[resume] 135 landed requests already in /home/hiro/prj/jev-optimize/artifacts/jev-prompt-study-2/ps2-jaq.jsonl
[jaq r1] H1 A.b0 -> ok (line 136)
[jaq r1] H1 A.b1 -> ok (line 137)
[jaq r1] H1 A.b2 -> ok (line 138)
[jaq r1] H2 A.b0 -> ok (line 139)
[jaq r1] H2 A.b1 -> ok (line 140)
[jaq r1] H2 A.b2 -> ok (line 141)
[jaq r1] H3 A.b0 -> ok (line 142)
[jaq r1] H3 A.b1 -> ok (line 143)
[jaq r1] H3 A.b2 -> ok (line 144)
[jaq r2] H1 A.b0 -> ok (line 145)
[jaq r2] H1 A.b1 -> ok (line 146)
[jaq r2] H1 A.b2 -> ok (line 147)
[jaq r2] H2 A.b0 -> ok (line 148)
[jaq r2] H2 A.b1 -> ok (line 149)
[jaq r2] H2 A.b2 -> ok (line 150)
[jaq r2] H3 A.b0 -> ok (line 151)
[jaq r2] H3 A.b1 -> ok (line 152)
[jaq r2] H3 A.b2 -> ok (line 153)
[jaq r3] H1 A.b0 -> ok (line 154)
[jaq r3] H1 A.b1 -> ok (line 155)
[jaq r3] H1 A.b2 -> ok (line 156)
[jaq r3] H2 A.b0 -> ok (line 157)
[jaq r3] H2 A.b1 -> ok (line 158)
[jaq r3] H2 A.b2 -> ok (line 159)
[jaq r3] H3 A.b0 -> ok (line 160)
[jaq r3] H3 A.b1 -> ok (line 161)
[jaq r3] H3 A.b2 -> ok (line 162)
[jaq] totals {'requests': 27, 'questions': 135, 'latency_ms': 39582.364897985826, 'max_latency_ms': 1959.362590998353, 'input_tokens': 396717, 'output_tokens': 5755, 'cost_usd': 0.0} gateway {'requests': 27, 'attempts': 167, 'landed': 27, 'exhausted': 0, 'lost_phases': 0, 'lost_rounds': 0, 'seconds_waiting': 280.0}
phase2 exit 0
